,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7142,F36558,1207.0,E,2.0,2021-10-29 18:01:30.930,2021-10-29,2021-10-29 00:00:00,2021-11-13,,2815.3790000000004,0.0,0
7143,F36559,5926.0,E,2.0,2021-10-29 18:03:27.903,2021-10-29,2021-10-29 00:00:00,2021-10-29,,1293.103,0.0,0
7144,F36560,5926.0,C,2.0,2021-10-29 18:04:45.553,2021-10-29,2021-10-29 00:00:00,2021-10-29,2021-11-02,343.75800000000004,0.0,0
7145,F36561,8468.0,E,2.0,2021-11-03 09:39:09.253,2021-11-03,2021-11-03 00:00:00,2021-11-03,,1350.0,0.0,0
7146,F36562,8498.0,E,2.0,2021-11-03 09:42:29.063,2021-11-03,2021-11-03 00:00:00,2021-11-03,,347.2875,0.0,0
7147,F36563,8497.0,E,1.0,2021-11-03 10:10:35.653,2021-11-03,2021-11-02 00:00:00,2021-11-03,,158.455,0.0,0
7148,F36564,4714.0,E,3.0,2021-11-03 10:14:02.213,2021-11-03,2021-11-02 00:00:00,2021-11-03,,3875.2908000000007,0.0,0
7149,F36565,3033.0,E,1.0,2021-11-03 10:16:23.907,2021-11-03,2021-11-02 00:00:00,2021-11-03,,851.7993,0.0,0
7150,F36566,8229.0,E,2.0,2021-11-03 10:20:01.277,2021-11-03,2021-11-03 00:00:00,2021-11-03,,753.0000000000001,0.0,0
7151,F36567,8495.0,E,3.0,2021-11-03 10:29:57.950,2021-11-03,2021-11-02 00:00:00,2021-11-03,,1647.3000000000002,0.0,0
7152,F36568,8496.0,C,1.0,2021-11-03 10:31:23.073,2021-11-03,2021-11-02 00:00:00,2021-11-03,2021-11-03,425.00000000000006,0.0,0
7153,F36569,8499.0,E,2.0,2021-11-03 10:37:15.460,2021-11-03,2021-11-03 00:00:00,2021-11-03,,97.46000000000001,0.0,0
7154,F36570,8494.0,E,3.0,2021-11-03 10:39:03.353,2021-11-03,2021-11-02 00:00:00,2021-11-03,,4295.455,0.0,0
7155,F36571,2847.0,E,2.0,2021-11-03 12:58:10.447,2021-11-03,2021-11-03 00:00:00,2021-11-03,,300.0,0.0,0
7156,F36572,5941.0,E,2.0,2021-11-03 15:24:16.260,2021-11-03,2021-11-01 00:00:00,2021-11-03,,2537.52,0.0,0
7157,F36573,5569.0,E,3.0,2021-11-03 16:03:55.257,2021-11-03,2021-11-03 00:00:00,2021-11-03,,3700.0000000000005,0.0,0
7158,F36574,5926.0,E,2.0,2021-11-03 17:05:28.667,2021-11-03,2021-11-03 00:00:00,2021-11-03,,143.44,0.0,0
7159,F36575,88.0,E,5.0,2021-11-04 08:33:06.303,2021-11-04,2021-11-03 00:00:00,2021-11-04,,384.0,0.0,0
7160,F36576,537.0,E,3.0,2021-11-04 08:43:28.993,2021-11-04,2021-11-04 00:00:00,2021-12-04,,25554.210000000003,0.0,0
7161,F36577,8496.0,C,1.0,2021-11-04 08:49:28.890,2021-11-04,2021-11-02 00:00:00,2021-11-04,2021-11-04,425.00000000000006,0.0,0
7162,F36578,5944.0,E,2.0,2021-11-04 09:16:25.070,2021-11-04,2021-11-03 00:00:00,2021-11-04,,1675.0800000000002,0.0,0
7163,F36579,4644.0,E,2.0,2021-11-04 09:28:33.993,2021-11-04,2021-11-04 00:00:00,2021-11-04,,855.6306000000001,0.0,0
7164,F36580,2549.0,E,2.0,2021-11-04 09:39:06.333,2021-11-04,2021-11-03 00:00:00,2021-12-04,,39144.0,0.0,0
7165,F36581,161.0,E,1.0,2021-11-04 09:59:26.397,2021-11-04,2021-11-04 00:00:00,2021-12-04,,315.55,0.0,0
7166,F36582,5728.0,E,1.0,2021-11-04 10:58:22.883,2021-11-04,2021-10-29 00:00:00,2021-11-19,,5282.75,0.0,0
7167,F36583,5728.0,E,1.0,2021-11-04 11:01:06.227,2021-11-04,2021-10-29 00:00:00,2021-11-19,,11109.5,0.0,0
7168,F36584,466.0,E,1.0,2021-11-04 11:05:31.600,2021-11-04,2021-10-29 00:00:00,2022-01-03,,3213.0000000000005,0.0,0
